,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
890,891,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,60.0,8064,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,NAmes,Adjacent to arterial street,Normal,1Fam,One and one-half story: 2nd level finished,Average,Average,1949,2006,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Average/Typical,Good,Cinder Block,Typical,Typical,Mn,Unfinshed,0,Unfinshed,0,672,672,Gas forced warm air furnace,Excellent,Yes,SBrkr,672,252,0,924,0,0,1,0,3,1,Typical/Average,6,Typ,1,Po,Detchd,2003.0,Unf,2,576,TA,TA,Paved,0,0,0,0,0,0,No Pool,Minimum Privacy,Shed,2000,7,2007,Warranty Deed - Conventional,Normal,122900
891,892,2-STORY 1946 & NEWER,Residential Low Density,70.0,11184,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,1Fam,Two story,Above Average,Above Average,1978,1978,Hip,Standard (Composite) Shingle,Hard Board,Hard Board,Brick Face,92.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Low Quality,226,Average Rec Room,500,192,918,Gas forced warm air furnace,Good,Yes,SBrkr,918,765,0,1683,0,0,2,1,3,1,Typical/Average,7,Typ,1,TA,Attchd,1978.0,RFn,2,440,TA,TA,Paved,243,0,0,0,0,0,No Pool,No Fence,None,0,7,2009,Warranty Deed - Conventional,Normal,172500
892,893,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.0,8414,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,1Fam,One story,Above Average,Above Average,1963,2003,Hip,Standard (Composite) Shingle,Hard Board,Hard Board,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Good Living Quarters,663,Unfinshed,0,396,1059,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1068,0,0,1068,0,1,1,0,3,1,Typical/Average,6,Typ,0,No Fireplace,Attchd,1963.0,RFn,1,264,TA,TA,Paved,192,0,0,0,0,0,No Pool,Minimum Privacy,None,0,2,2006,Warranty Deed - Conventional,Normal,154500
893,894,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.04995836802665,13284,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,"Near positive off-site feature--park, greenbelt, etc.",Normal,1Fam,One story,Average,Average,1954,1954,Gable,Standard (Composite) Shingle,Wood Siding,Plywood,None,0.0,Average/Typical,Average/Typical,Poured Contrete,Good,Typical,Mn,Below Average Living Quarters,1064,Unfinshed,0,319,1383,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1383,0,0,1383,1,0,1,0,3,1,Typical/Average,6,Typ,1,Gd,Attchd,1954.0,Unf,1,354,TA,TA,Paved,511,116,0,0,0,0,No Pool,Good Privacy,None,0,6,2008,Warranty Deed - Conventional,Normal,165000
894,895,DUPLEX - ALL STYLES AND AGES,Residential Low Density,64.0,7018,Paved,No alley access,Regular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Normal,Normal,Duplex,One story,Average,Average,1979,1979,Gable,Standard (Composite) Shingle,Plywood,Plywood,None,0.0,Average/Typical,Average/Typical,Slab,No Basement,No Basement,No Basement,No Basement,0,No Basement,0,0,0,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1535,0,0,1535,0,0,2,0,4,2,Typical/Average,8,Typ,0,No Fireplace,Attchd,1979.0,Unf,2,400,TA,TA,Paved,0,0,0,0,0,0,No Pool,No Fence,None,0,6,2009,Warranty Deed - Conventional,Alloca,118858
895,896,2-STORY 1946 & NEWER,Residential Low Density,71.0,7056,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,1Fam,Two story,Above Average,Above Average,1963,1963,Hip,Standard (Composite) Shingle,Hard Board,Hard Board,Brick Face,415.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Below Average Living Quarters,400,Unfinshed,0,380,780,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,983,813,0,1796,1,0,1,1,4,1,Typical/Average,8,Typ,1,TA,Attchd,1963.0,RFn,2,483,TA,TA,Paved,0,50,0,0,0,0,No Pool,No Fence,None,0,10,2008,Warranty Deed - Conventional,Normal,140000
896,897,1-STORY 1945 & OLDER,Residential Medium Density,50.0,8765,Paved,Gravel,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Normal,Normal,1Fam,One story,Below Average,Below Average,1936,1950,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical,Typical,No,Average Living Quarters,285,Unfinshed,0,666,951,Gas forced warm air furnace,Excellent,No,SBrkr,951,0,0,951,0,0,1,0,2,1,Typical/Average,6,Typ,0,No Fireplace,Detchd,1936.0,Unf,1,327,TA,TA,Paved,0,28,0,0,0,0,No Pool,No Fence,None,0,4,2006,Warranty Deed - Conventional,Abnorml,106500
897,898,DUPLEX - ALL STYLES AND AGES,Residential Low Density,64.0,7018,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Adjacent to feeder street,Normal,Duplex,Two story,Average,Average,1979,1979,Gable,Standard (Composite) Shingle,Plywood,Plywood,None,0.0,Average/Typical,Average/Typical,Slab,No Basement,No Basement,No Basement,No Basement,0,No Basement,0,0,0,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1120,1120,0,2240,0,0,2,0,6,2,Typical/Average,12,Typ,0,No Fireplace,Detchd,1979.0,Unf,2,528,TA,TA,Paved,154,0,0,0,0,0,No Pool,No Fence,None,0,6,2009,Warranty Deed - Conventional,Alloca,142953
898,899,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,100.0,12919,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Normal,1Fam,One story,Excellent,Excellent,2009,2010,Hip,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,760.0,Excellent,Average/Typical,Poured Contrete,Excellent,Typical,Gd,Good Living Quarters,2188,Unfinshed,0,142,2330,Gas forced warm air furnace,Excellent,Yes,SBrkr,2364,0,0,2364,1,0,2,1,2,1,Excellent,11,Typ,2,Gd,Attchd,2009.0,Fin,3,820,TA,TA,Paved,0,67,0,0,0,0,No Pool,No Fence,None,0,3,2010,Home just constructed and sold,Partial,611657
899,900,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,65.0,6993,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Adjacent to feeder street,Normal,1Fam,One story,Average,Average,1961,1994,Gable,Standard (Composite) Shingle,Hard Board,Plywood,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Below Average Living Quarters,465,Unfinshed,0,447,912,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1236,0,0,1236,0,0,1,0,3,1,Typical/Average,6,Typ,1,TA,Attchd,1961.0,Unf,1,288,TA,TA,Paved,0,0,0,0,0,0,No Pool,No Fence,None,0,6,2006,Warranty Deed - Conventional,Normal,135000
900,901,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.04995836802665,7340,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,1Fam,One story,Below Average,Below Average,1971,1971,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Average Living Quarters,322,Unfinshed,0,536,858,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,858,0,0,858,0,0,1,0,2,1,Typical/Average,4,Typ,0,No Fireplace,Detchd,1979.0,Unf,1,684,TA,TA,Paved,0,0,0,0,0,0,No Pool,No Fence,None,0,6,2007,Warranty Deed - Conventional,Normal,110000
901,902,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,64.0,8712,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,1Fam,One story,Average,Average,1957,2000,Hip,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Average/Typical,Good,Cinder Block,Typical,Typical,Mn,Below Average Living Quarters,860,Unfinshed,0,132,992,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1306,0,0,1306,1,0,1,0,2,1,Typical/Average,5,Typ,0,No Fireplace,Detchd,1968.0,Unf,1,756,TA,TA,Paved,0,0,0,0,0,0,No Pool,No Fence,None,0,5,2009,Warranty Deed - Conventional,Normal,153000
902,903,2-STORY 1946 & NEWER,Residential Low Density,63.0,7875,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Normal,Normal,1Fam,Two story,Good,Good,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Good,Average/Typical,Poured Contrete,Good,Typical,No,Unfinshed,0,Unfinshed,0,783,783,Gas forced warm air furnace,Excellent,Yes,SBrkr,807,702,0,1509,0,0,2,1,3,1,Good,8,Typ,1,Gd,Attchd,2003.0,Fin,2,393,TA,TA,Paved,0,75,0,0,0,0,No Pool,No Fence,None,0,7,2006,Warranty Deed - Conventional,Normal,180000
903,904,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,50.0,14859,Paved,No alley access,Slightly irregular,Hillside - Significant slope from side to side,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Gilbert,Normal,Normal,1Fam,One story,Good,Good,2006,2006,Hip,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,27.0,Good,Average/Typical,Poured Contrete,Good,Typical,No,Unfinshed,0,Unfinshed,0,1670,1670,Gas forced warm air furnace,Excellent,Yes,SBrkr,1670,0,0,1670,0,0,2,0,3,1,Good,7,Typ,1,Gd,Attchd,2006.0,RFn,3,690,TA,TA,Paved,144,60,0,0,0,0,No Pool,No Fence,None,0,8,2006,Home just constructed and sold,Partial,240000
904,905,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.04995836802665,6173,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,1Fam,One story,Average,Average,1967,1967,Gable,Standard (Composite) Shingle,Hard Board,Wood Siding,Brick Face,75.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Good Living Quarters,599,Unfinshed,0,277,876,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,902,0,0,902,0,0,1,0,3,1,Typical/Average,6,Typ,0,No Fireplace,Attchd,1967.0,Unf,1,288,TA,TA,Paved,0,0,0,0,0,0,No Pool,Minimum Privacy,None,0,8,2007,Warranty Deed - Conventional,Normal,125500
905,906,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,80.0,9920,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,1Fam,One story,Average,Average,1954,1954,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,Stone,110.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Average Rec Room,354,Low Quality,290,412,1056,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1063,0,0,1063,1,0,1,0,3,1,Typical/Average,6,Typ,0,No Fireplace,Attchd,1954.0,RFn,1,280,TA,TA,Paved,0,0,164,0,0,0,No Pool,Minimum Privacy,None,0,2,2010,Warranty Deed - Conventional,Normal,128000
906,907,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,116.0,13501,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Somerset,Normal,Normal,1Fam,One story,Very Good,Very Good,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,208.0,Good,Average/Typical,Poured Contrete,Good,Typical,No,Good Living Quarters,63,Unfinshed,0,1560,1623,Gas forced warm air furnace,Excellent,Yes,SBrkr,1636,0,0,1636,1,0,2,0,3,1,Good,8,Typ,1,Gd,Attchd,2006.0,RFn,3,865,TA,TA,Paved,0,60,0,0,0,0,No Pool,No Fence,None,0,6,2007,Warranty Deed - Conventional,Normal,255000
907,908,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,86.0,11500,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Crawford,Normal,Normal,1Fam,One and one-half story: 2nd level finished,Good,Good,1936,1987,Gable,Standard (Composite) Shingle,Brick Face,Brick Face,None,0.0,Good,Average/Typical,Cinder Block,Good,Typical,No,Average Rec Room,223,Unfinshed,0,794,1017,Gas forced warm air furnace,Good,Yes,SBrkr,1020,1037,0,2057,0,0,1,1,3,1,Good,6,Typ,1,Gd,Attchd,1936.0,Fin,1,180,Fa,TA,Paved,0,0,0,0,322,0,No Pool,No Fence,None,0,6,2006,Warranty Deed - Conventional,Normal,250000
908,909,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.04995836802665,8885,Paved,No alley access,Slightly irregular,Depression,"All public Utilities (E,G,W,& S)",Inside lot,Moderate Slope,Mitchell,Normal,Normal,1Fam,One story,Average,Average,1983,1983,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,None,0.0,Average/Typical,Average/Typical,Cinder Block,Good,Typical,Av,Below Average Living Quarters,301,Average Living Quarters,324,239,864,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,902,0,0,902,1,0,1,0,2,1,Typical/Average,5,Typ,0,No Fireplace,Attchd,1983.0,Unf,2,484,TA,TA,Paved,164,0,0,0,0,0,No Pool,Minimum Privacy,None,0,6,2006,Warranty Deed - Conventional,Normal,131000
909,910,2-STORY 1946 & NEWER,Residential Low Density,149.0,12589,Paved,No alley access,Moderately Irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Normal,Normal,1Fam,Two story,Above Average,Above Average,2005,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Good,Average/Typical,Poured Contrete,Good,Typical,No,Unfinshed,0,Unfinshed,0,742,742,Gas forced warm air furnace,Excellent,Yes,SBrkr,742,742,0,1484,0,0,2,1,3,1,Good,8,Typ,1,Gd,Attchd,2005.0,Fin,2,390,TA,TA,Paved,36,24,0,0,0,0,No Pool,No Fence,None,0,6,2009,Warranty Deed - Conventional,Normal,174000
910,911,DUPLEX - ALL STYLES AND AGES,Residential Low Density,80.0,11600,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,NAmes,Adjacent to feeder street,Normal,Duplex,Two story,Average,Average,1960,1960,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,Brick Face,361.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Average Rec Room,443,Unfinshed,0,662,1105,Gas forced warm air furnace,Average/Typical,Yes,FuseA,1105,1169,0,2274,0,0,2,0,5,2,Typical/Average,12,Typ,0,No Fireplace,Detchd,1960.0,Unf,2,480,TA,TA,Paved,0,0,0,0,0,0,No Pool,No Fence,None,0,1,2010,Warranty Deed - Conventional,Normal,154300
911,912,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.04995836802665,9286,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Moderate Slope,College Creek,Normal,Normal,1Fam,One story,Average,Average,1977,1989,Gable,Standard (Composite) Shingle,Hard Board,Plywood,None,0.0,Average/Typical,Average/Typical,Cinder Block,Good,Good,Av,Average Living Quarters,196,Unfinshed,0,1072,1268,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1268,0,0,1268,0,0,1,1,3,1,Good,5,Typ,0,No Fireplace,Detchd,1978.0,Unf,1,252,TA,TA,Paved,173,0,0,0,0,0,No Pool,No Fence,None,0,10,2009,Warranty Deed - Conventional,Normal,143500
912,913,1-STORY 1945 & OLDER,Residential Medium Density,51.0,6120,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Normal,Normal,1Fam,One story,Average,Average,1925,1950,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical,Typical,No,Average Rec Room,489,Unfinshed,0,279,768,Gas forced warm air furnace,Average/Typical,No,SBrkr,1015,0,0,1015,0,0,1,0,3,1,Typical/Average,6,Min1,0,No Fireplace,Detchd,1925.0,Unf,1,450,TA,TA,Paved,0,0,112,0,120,0,No Pool,Minimum Privacy,Shed,620,7,2006,Warranty Deed - Conventional,Abnorml,88000
913,914,DUPLEX - ALL STYLES AND AGES,Residential High Density,82.0,6270,Paved,No alley access,Regular,Hillside - Significant slope from side to side,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Crawford,Normal,Normal,Duplex,Two story,Average,Average,1949,1950,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Below Average Living Quarters,284,Unfinshed,0,717,1001,Gas forced warm air furnace,Average/Typical,No,FuseA,1001,1001,0,2002,0,0,2,0,4,2,Typical/Average,8,Typ,0,No Fireplace,2Types,1949.0,Unf,3,871,TA,TA,Paved,0,0,0,0,0,0,No Pool,No Fence,None,0,8,2007,Warranty Deed - Conventional,Normal,145000
914,915,2-STORY PUD - 1946 & NEWER,Floating Village Residential,30.0,3000,Paved,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Normal,TwnhsE,Two story,Above Average,Above Average,2009,2009,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,76.0,Good,Average/Typical,Poured Contrete,Good,Typical,Av,Good Living Quarters,294,Unfinshed,0,318,612,Gas forced warm air furnace,Excellent,Yes,SBrkr,612,612,0,1224,0,0,2,1,2,1,Good,4,Typ,0,No Fireplace,Detchd,2009.0,RFn,2,528,TA,TA,Paved,0,234,0,0,0,0,No Pool,No Fence,None,0,6,2009,Home just constructed and sold,Partial,173733
915,916,2-STORY PUD - 1946 & NEWER,Residential Medium Density,21.0,2001,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Meadow Village,Normal,Normal,Twnhs,Two story,Below Average,Below Average,1970,1970,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,Brick Face,80.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Unfinshed,0,Unfinshed,0,546,546,Gas forced warm air furnace,Fair,Yes,SBrkr,546,546,0,1092,0,0,1,1,3,1,Typical/Average,6,Typ,0,No Fireplace,Attchd,1970.0,Unf,1,286,TA,TA,Paved,0,0,0,0,0,0,No Pool,No Fence,None,0,1,2007,Warranty Deed - Conventional,Normal,75000
916,917,1-STORY 1946 & NEWER ALL STYLES,C (all),50.0,9000,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Normal,Normal,1Fam,One story,Poor,Poor,1949,1950,Gable,Standard (Composite) Shingle,Asbestos Shingles,Asbestos Shingles,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,Av,Below Average Living Quarters,50,Unfinshed,0,430,480,Gas forced warm air furnace,Average/Typical,No,FuseA,480,0,0,480,1,0,0,0,1,1,Typical/Average,4,Typ,0,No Fireplace,Detchd,1958.0,Unf,1,308,TA,TA,Paved,0,0,0,0,0,0,No Pool,No Fence,None,0,10,2006,Warranty Deed - Conventional,Abnorml,35311
917,918,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.04995836802665,17140,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Normal,Normal,1Fam,One story,Below Average,Below Average,1956,1956,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Average Living Quarters,1059,Unfinshed,0,75,1134,Gas forced warm air furnace,Excellent,Yes,FuseA,1229,0,0,1229,0,0,1,0,3,1,Typical/Average,6,Typ,0,No Fireplace,Attchd,1956.0,RFn,1,284,TA,TA,Paved,0,0,0,0,0,0,No Pool,No Fence,None,0,4,2009,Warranty Deed - Conventional,Normal,135000
918,919,2-STORY 1946 & NEWER,Residential Low Density,103.0,13125,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Sawyer West,Normal,Normal,1Fam,Two story,Good,Good,1991,1991,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,None,0.0,Good,Average/Typical,Poured Contrete,Excellent,Typical,Mn,Below Average Living Quarters,48,Good Living Quarters,634,422,1104,Gas forced warm air furnace,Excellent,Yes,SBrkr,912,1215,0,2127,1,0,2,1,4,1,Good,8,Typ,1,TA,Attchd,1991.0,RFn,3,833,TA,TA,Paved,72,192,224,0,0,0,No Pool,Good Privacy,None,0,11,2007,Warranty Deed - Conventional,Normal,238000
919,920,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,87.0,11029,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,NAmes,Normal,Normal,1Fam,One story,Above Average,Above Average,1958,2002,Hip,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Excellent,Average/Typical,Cinder Block,Good,Typical,No,Average Living Quarters,528,Below Average Living Quarters,411,245,1184,Gas forced warm air furnace,Excellent,Yes,SBrkr,1414,0,0,1414,1,0,1,0,3,1,Typical/Average,6,Min1,1,TA,Attchd,1990.0,Unf,2,601,TA,TA,Paved,0,51,0,0,190,0,No Pool,No Fence,None,0,5,2008,Warranty Deed - Conventional,Normal,176500
920,921,2-STORY 1946 & NEWER,Residential Low Density,70.0,8462,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Normal,Normal,1Fam,Two story,Above Average,Above Average,1994,1994,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,Brick Face,105.0,Good,Good,Poured Contrete,Good,Good,No,Good Living Quarters,814,Unfinshed,0,114,928,Gas forced warm air furnace,Excellent,Yes,SBrkr,936,785,0,1721,0,1,2,1,3,1,Good,7,Typ,0,No Fireplace,Attchd,1994.0,RFn,2,471,TA,TA,Paved,300,87,0,0,0,0,No Pool,No Fence,None,0,7,2007,Warranty Deed - Conventional,Normal,201000
921,922,DUPLEX - ALL STYLES AND AGES,Residential Low Density,67.0,8777,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Adjacent to feeder street,Normal,Duplex,One and one-half story: 2nd level finished,Average,Average,1900,2003,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Average Living Quarters,1084,Unfinshed,0,188,1272,Gas forced warm air furnace,Good,Yes,SBrkr,1272,928,0,2200,2,0,2,2,4,2,Typical/Average,9,Typ,0,No Fireplace,No Garage,0.0,No Garage,0,0,No Garage,No Garage,Dirt/Gravel,0,70,0,0,0,0,No Pool,Good Privacy,None,0,9,2008,Warranty Deed - Conventional,Normal,145900
922,923,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,65.0,10237,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Adjacent to North-South Railroad,Normal,1Fam,One story,Above Average,Above Average,2005,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Good,Average/Typical,Poured Contrete,Good,Typical,No,Good Living Quarters,28,Unfinshed,0,1288,1316,Gas forced warm air furnace,Excellent,Yes,SBrkr,1316,0,0,1316,0,0,2,0,3,1,Good,6,Typ,1,Gd,Attchd,2005.0,Fin,2,397,TA,TA,Paved,100,0,0,23,0,0,No Pool,No Fence,None,0,10,2006,Home just constructed and sold,Partial,169990
923,924,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low Density,50.0,8012,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Normal,Normal,TwnhsE,One story,Above Average,Above Average,1993,1994,Gable,Standard (Composite) Shingle,Plywood,Plywood,None,0.0,Good,Average/Typical,Poured Contrete,Good,Typical,No,Low Quality,165,Good Living Quarters,841,598,1604,Gas forced warm air furnace,Excellent,Yes,SBrkr,1617,0,0,1617,1,0,2,0,2,1,Good,5,Typ,1,Fa,Attchd,1993.0,RFn,2,533,TA,TA,Paved,0,69,0,0,0,0,No Pool,No Fence,None,0,7,2008,Warranty Deed - Conventional,Normal,193000
924,925,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,79.0,10240,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northwest Ames,Normal,Normal,1Fam,One story,Above Average,Above Average,1980,1980,Gable,Standard (Composite) Shingle,Plywood,Plywood,Brick Face,157.0,Average/Typical,Good,Cinder Block,Good,Typical,No,Below Average Living Quarters,625,Low Quality,1061,0,1686,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1686,0,0,1686,1,0,2,0,3,1,Typical/Average,7,Typ,1,TA,Attchd,1980.0,Unf,2,612,TA,TA,Paved,384,131,0,0,0,0,No Pool,No Fence,None,0,5,2006,Warranty Deed - Conventional,Normal,207500
